date,nav_xgb,nav_rf,index
2024-07-23,0.970514427005779,0.9503503560329508,0.9589190487348016
2024-07-24,0.9487066638600351,0.946496443650238,0.94856480167702
2024-07-25,0.9462532981829253,0.9538206421160628,0.9493114766131836
2024-07-26,0.9600724797685444,0.9647426926329332,0.9572734383456608
2024-07-29,0.9529474596365957,0.9607277729595404,0.940952573708053
2024-07-30,0.9833250965251631,0.985813474282341,0.9441678636958536
2024-07-31,0.9711122791218828,0.9840536486622007,0.9885280676637759
2024-08-01,0.9596679819403348,0.9560734977506524,0.9825399075479461
2024-08-02,0.9307608898320255,0.9300349002546487,0.9649730332661969
2024-08-05,0.9477292806867122,0.9672130458400786,0.9365629495508381
2024-08-06,0.9439198311641067,0.9649593897034654,0.9492862106758957
2024-08-07,0.911916386347156,0.9399059938032585,0.9409400737180262
2024-08-08,0.9019471883942202,0.9375525211723528,0.9427154712376559
2024-08-09,0.8717117775672603,0.9005941597224819,0.9382247833312899
2024-08-12,0.868766880851298,0.8930626332090082,0.9405992495218753
2024-08-13,0.8557787305786635,0.881053167911085,0.945141267174521
2024-08-14,0.842855366437018,0.8669643630037959,0.9320874212068448
2024-08-15,0.8469858169651947,0.8748364506678864,0.9408912705654756
2024-08-16,0.8196547767139939,0.8499664218829054,0.9377976560125085
2024-08-19,0.8043628214166553,0.8388392417565075,0.9352674718610597
2024-08-20,0.8030677586862286,0.8315443667267639,0.9222374290658811
2024-08-21,0.7971528065172478,0.8225267026937532,0.9197275906428799
2024-08-22,0.7771496857317263,0.8061811245763354,0.9116092460564528
2024-08-23,0.7903113848113681,0.8103002948270219,0.9119124373039066
2024-08-26,0.7719344127721497,0.7929802020491413,0.9075773343797866
2024-08-27,0.774811365558756,0.7935362180769403,0.896737582390227
2024-08-28,0.7818217716080367,0.7946220519045305,0.8925789420912699
2024-08-29,0.7951758554608623,0.8076379608726216,0.9037159012905045
2024-08-30,0.7824868855487971,0.7903301907761594,0.92308942306695
